location,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
PRODUCTION,,,,,,,,,,,,,,,,
 ,Parameter,Units,April,May,June,July,August,September,October,November,December,January,February,March,YOD,2023-24
1,steel billet Production,Tons,163252,190158,174611,108753,70042,143775,162306,175389,138981,185331,166483,0,1679081,
2,steel billet Consumed,Tons,103502,81255,110023,86796,96231,72637,91703,95995,119840,114382,136580,0,1108944,
3,steel billet Export,Tons,64076,55893,61788,46949,47724,42989,51849,63206,53313,55061,53642.3,0,596490.3,
4,steel billet Import,Tons,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Raw meal production,Tons,247935,284270,269490,171585,104145,223540,245425,265065,211075,286045,248965,0,2557540,
6,Natural Gypsum Consumed ,Tons,0,0,50,39,314,667,825,460,218,0,0,0,2573,
7,Alternative steel-based Material ,Tons,26473,20835,25859,21245,20005,17691,22342,23060,27297,27548,27930,0,260285,
8,Total Mineral component materials consumed,Tons,26473,20835,25909,21284,20319,18358,23167,23520,27515,27548,27930,0,262858,
9,iron ore consumed as raw material,Tons,237572,268563,255400,162772,98117,205298,227367,248087,196403,265215,229692,0,2394486,
10,Total steel-based Produced,Tons,189725,210993,200520,130037,90361,162133,185473,198909,166496,212879,194413,0,1941939,
11,Total steel Produced,Tons,129975,102090,135932,108080,116550,90995,114870,119515,147355,141930,164510,0,1371802,
12,Total steel Dispatched,Tons,115388,118600,125071,111030,113791,94961,116137,117128,138182,148046,169345.05,0,1367679.05,
13,Total Carbon Steel Produced,Tons,70695,55505,75935,58160,66535,45010,60540,63715,82920,77055,102475,0,758545,
14,Total Alloy Steel Produced,Tons,59280,46585,54938,45717,47209,42552,50617,51380,57644,61263,57434,0,574619,
